ProductName,ProductModuleName,IITProductCode,IITProductModuleName,EditionName,IITEditionName,UsageDescription,UsageUnit,CostUSD,CostUnit,MarginPercent,MinMargin,IITRrpAUD,CompliantWithPlan,IITMaterialCode,BillingNotes
Hybrid Workloads,Hybrid Workloads,BAAS-DC,Backup-as-a-Service for Enterprise Workloads,Elite,Premium,Cloud Storage,Bytes,176.96,TB/month,45,20,409,TRUE,00,
Hybrid Workloads,Hybrid Workloads,BAAS-DC,Backup-as-a-Service for Enterprise Workloads,Elite,Premium,Long Term Retention Storage,Bytes,141.57,TB/month,45,20,330,TRUE,01,
Hybrid Workloads,Hybrid Workloads,BAAS-DC,Backup-as-a-Service for Enterprise Workloads,Enterprise,Advanced,Cloud Storage,Bytes,142.99,TB/month,45,20,331,TRUE,05,
Hybrid Workloads,Hybrid Workloads,BAAS-DC,Backup-as-a-Service for Enterprise Workloads,Enterprise,Advanced,Long Term Retention Storage,Bytes,114.39,TB/month,45,20,270,TRUE,06,
Hybrid Workloads,Hybrid Workloads,BAAS-DC,Backup-as-a-Service for Enterprise Workloads,Business,Basic,Cloud Storage,Bytes,118.5,TB/month,40,20,265,TRUE,10,
SaaS Apps and Endpoints,Microsoft 365,BAAS-M365,Backup-as-a-Service for Microsoft 365,Elite,Premium,Active Users,Users,1.77,Users/Month,70,30,4.8,TRUE,02,Includes 50GB of pooled storage
SaaS Apps and Endpoints,Microsoft 365,BAAS-M365,Backup-as-a-Service for Microsoft 365,Elite,Premium,Preserved Users,Users,0.9,Users/Month,70,30,2.5,TRUE,02,"Includes 50GB of pooled storage, first 10% of active users is free"
SaaS Apps and Endpoints,Microsoft 365,BAAS-M365,Backup-as-a-Service for Microsoft 365,Elite,Premium,Unlimited Storage,Users,1.44,Users/Month,70,30,4,TRUE,02,"Increases storage to 300GB per user, applies to all users"
SaaS Apps and Endpoints,Microsoft 365,BAAS-M365,Backup-as-a-Service for Microsoft 365,Elite,Premium,Sensitive Data Governance,Users,1.46,Users/Month,70,30,4,TRUE,02,Overlay across all users
SaaS Apps and Endpoints,Microsoft 365,BAAS-M365,Backup-as-a-Service for Microsoft 365,Elite,Premium,Security Posture & Observability,Users,1.69,Users/Month,70,30,4.6,TRUE,02,Overlay across all users
SaaS Apps and Endpoints,Microsoft 365,BAAS-M365,Backup-as-a-Service for Microsoft 365,Elite,Premium,Accelerated Ransomware Recovery,Users,3.38,Users/Month,70,30,9.2,TRUE,02,Overlay across all users
SaaS Apps and Endpoints,Microsoft 365,BAAS-M365,Backup-as-a-Service for Microsoft 365,Enterprise,Advanced,Active Users,Users,1.52,Users/Month,70,30,4.2,TRUE,02,Includes 50GB of pooled storage
SaaS Apps and Endpoints,Microsoft 365,BAAS-M365,Backup-as-a-Service for Microsoft 365,Enterprise,Advanced,Preserved Users,Users,0.9,Users/Month,70,30,2.5,TRUE,02,"Includes 50GB of pooled storage, first 10% of active users is free"
SaaS Apps and Endpoints,Microsoft 365,BAAS-M365,Backup-as-a-Service for Microsoft 365,Enterprise,Advanced,Unlimited Storage,Users,1.44,Users/Month,70,30,4,TRUE,02,"Increases storage to 300GB per user, applies to all users"
SaaS Apps and Endpoints,Microsoft 365,BAAS-M365,Backup-as-a-Service for Microsoft 365,Enterprise,Advanced,Sensitive Data Governance,Users,1.65,Users/Month,70,30,4,TRUE,02,Overlay across all users
SaaS Apps and Endpoints,Microsoft 365,BAAS-M365,Backup-as-a-Service for Microsoft 365,Enterprise,Advanced,Security Posture & Observability,Users,1.69,Users/Month,70,30,4.6,TRUE,02,Overlay across all users
